haplotype,p0,p1,p5,p50,p95,p99,p100
HLA-DQA103:03-DQB104:02,545.86,685.1719000000002,1242.4195,4692.475,10914.065999999995,12393.4212,12763.26
HLA-DQA104:01-DQB104:02,432.71,537.3809000000001,956.0645,6504.08,20199.270999999986,24406.4542,25458.25
HLA-DQA105:01-DQB102:01,722.17,794.1115,1081.8775,4832.765,18081.84949999999,21346.073900000003,22162.13
HLA-DQA105:01-DQB103:01,1734.54,1892.2236000000003,2522.9579999999996,9982.84,22814.439499999993,24986.0639,25528.97
HLA-DQA105:01-DQB103:02,961.3,1001.8693000000001,1164.1464999999998,3943.785,7317.404999999999,7989.777000000001,8157.87
HLA-DQA105:01-DQB103:03,629.64,676.0152,861.516,3969.17,9458.537499999997,10589.963500000002,10872.82
HLA-DQA105:01-DQB104:02,157.85,164.9978,193.589,2184.205,7474.3964999999935,9291.327299999999,9745.56
HLA-DQA105:05-DQB103:01,2185.68,2524.2357,3878.4584999999997,13464.53,21082.898499999996,22065.435700000002,22311.07
HLA-DQA106:01-DQB104:02,467.13,628.9194000000001,1276.0769999999998,3870.07,10983.261499999993,13216.244300000002,13774.49
HLA-DQB102:01,9648.78,9690.9009,9859.3845,27463.45,40491.653,42337.5386,42799.01
HLA-DQB102:02,2561.11,2739.9499,3455.3095000000003,11044.135,17873.649999999994,19411.354,19795.78
HLA-DQB103:01,12570.46,12593.106699999998,12683.6935,15508.029999999999,31714.276499999993,33994.38330000001,34564.41
HLA-DQB103:02,4264.02,4533.779700000001,5612.818499999999,15662.33,31340.316999999995,33400.7914,33915.91
HLA-DQB103:19,3631.89,3736.3602,4154.241,34428.12,41712.528,42907.8576,43206.69
HLA-DQB104:02,403.98,474.8676000000001,758.4179999999999,4405.475,9163.9305,9329.1381,9370.44
HLA-DQB105:01,2367.33,2761.2744000000002,4337.052,15092.744999999999,26873.653000000002,27034.522600000004,27074.74
HLA-DQB105:02,1831.95,2049.1002000000003,2917.7009999999996,9146.57,12553.647499999995,13941.3215,14288.24
HLA-DQB105:03,1176.6,1468.5591000000004,2636.3955,8009.334999999999,12034.656999999996,13139.8354,13416.13
HLA-DQB106:02,1575.78,1592.0169,1656.9645,19552.489999999998,33856.575,35562.291000000005,35988.72
HLA-DRA01:01-DRB101:01,1348.58,1430.111,1756.2350000000001,7729.97,29932.167999999994,31242.9136,31570.6
HLA-DRA01:01-DRB103:01,1404.26,1498.364,1874.78,6955.76,14182.415999999997,14855.5872,15023.88
HLA-DRA01:01-DRB104:01,2157.01,2284.2988000000005,2793.4539999999997,26169.285,41611.630999999994,42515.5982,42741.59
HLA-DRA01:01-DRB104:04,630.32,676.7267,862.3535,3842.495,10002.990999999998,10750.3582,10937.2
